benchmark,family,result,time,memory
mbo_E17E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E17E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E17E22,20161105-Sturm-MBO,unsat,0.021,21.047
mbo_E17E23,20161105-Sturm-MBO,unsat,0.018,20.434
mbo_E17E24,20161105-Sturm-MBO,memoryout,0,0
mbo_E17E25,20161105-Sturm-MBO,memoryout,0,0
mbo_E17E26,20161105-Sturm-MBO,unsat,0.013,20.512
mbo_E17E27,20161105-Sturm-MBO,unsat,0.017,20.488
mbo_E17E28,20161105-Sturm-MBO,unsat,0.016,20.516
mbo_E17,20161105-Sturm-MBO,unsat,0.012,20.414
mbo_E18E19,20161105-Sturm-MBO,unsat,0.103,24.859
mbo_E18E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E18E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E18E22,20161105-Sturm-MBO,unsat,0.024,21.133
mbo_E18E23,20161105-Sturm-MBO,unsat,0.019,20.949
mbo_E18E24,20161105-Sturm-MBO,unsat,0.092,24.383
mbo_E18E25,20161105-Sturm-MBO,memoryout,0,0
mbo_E18E26,20161105-Sturm-MBO,memoryout,0,0
mbo_E18E27,20161105-Sturm-MBO,unsat,0.052,21.309
mbo_E18E28,20161105-Sturm-MBO,unsat,0.081,24.371
mbo_E18,20161105-Sturm-MBO,unsat,0.019,20.406
mbo_E19E20,20161105-Sturm-MBO,unsat,0.031,21.035
mbo_E19E21,20161105-Sturm-MBO,unsat,0.019,20.816
mbo_E19E22,20161105-Sturm-MBO,unsat,0.081,24.07
mbo_E19E23,20161105-Sturm-MBO,unsat,0.073,23.957
mbo_E19E24,20161105-Sturm-MBO,unsat,0.088,24.246
mbo_E19E25,20161105-Sturm-MBO,unsat,0.087,24.199
mbo_E19E26,20161105-Sturm-MBO,unsat,0.078,24.047
mbo_E19E27,20161105-Sturm-MBO,unsat,0.034,21.48
mbo_E19E28,20161105-Sturm-MBO,unsat,0.087,24.199
mbo_E19,20161105-Sturm-MBO,unsat,0.011,20.527
mbo_E1E10,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E11,20161105-Sturm-MBO,unsat,0.055,22.625
mbo_E1E12,20161105-Sturm-MBO,unsat,0.118,25.09
mbo_E1E13,20161105-Sturm-MBO,unsat,0.113,25.609
mbo_E1E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E15,20161105-Sturm-MBO,unsat,0.112,25.09
mbo_E1E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E18,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E19,20161105-Sturm-MBO,unsat,0.105,25.004
mbo_E1E20,20161105-Sturm-MBO,unsat,0.083,24.176
mbo_E1E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E22,20161105-Sturm-MBO,unsat,0.089,24.344
mbo_E1E23,20161105-Sturm-MBO,unsat,0.081,24.25
mbo_E1E24,20161105-Sturm-MBO,unsat,0.101,24.621
mbo_E1E25,20161105-Sturm-MBO,unsat,0.092,24.562
mbo_E1E26,20161105-Sturm-MBO,unsat,0.097,24.355
mbo_E1E27,20161105-Sturm-MBO,unsat,0.041,21.77
mbo_E1E28,20161105-Sturm-MBO,unsat,0.086,24.617
mbo_E1E2,20161105-Sturm-MBO,unsat,0.117,25.949
mbo_E1E3,20161105-Sturm-MBO,unsat,0.112,25.949
mbo_E1E4,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E5,20161105-Sturm-MBO,unsat,0.129,26.492
mbo_E1E6,20161105-Sturm-MBO,memoryout,0,0
mbo_E1E7,20161105-Sturm-MBO,unsat,0.065,23.418
mbo_E1E8,20161105-Sturm-MBO,unsat,0.112,25.949
mbo_E1E9,20161105-Sturm-MBO,memoryout,0,0
mbo_E1,20161105-Sturm-MBO,unsat,0.018,20.941
mbo_E20E21,20161105-Sturm-MBO,unsat,0.013,20.434
mbo_E20E22,20161105-Sturm-MBO,unsat,0.016,20.512
mbo_E20E23,20161105-Sturm-MBO,unsat,0.016,20.484
mbo_E20E24,20161105-Sturm-MBO,unsat,0.018,20.531
mbo_E20E25,20161105-Sturm-MBO,unsat,0.017,20.527
mbo_E20E26,20161105-Sturm-MBO,unsat,0.016,20.633
mbo_E20E27,20161105-Sturm-MBO,unsat,0.011,20.484
mbo_E20E28,20161105-Sturm-MBO,unsat,0.018,20.512
mbo_E20,20161105-Sturm-MBO,unsat,0.012,20.414
mbo_E21E22,20161105-Sturm-MBO,memoryout,0,0
mbo_E21E23,20161105-Sturm-MBO,unsat,0.009,20.41
mbo_E21E24,20161105-Sturm-MBO,unsat,0.018,20.516
mbo_E21E25,20161105-Sturm-MBO,memoryout,0,0
mbo_E21E26,20161105-Sturm-MBO,unsat,0.012,20.41
mbo_E21E27,20161105-Sturm-MBO,unsat,0.009,20.406
mbo_E21E28,20161105-Sturm-MBO,unsat,0.012,20.41
mbo_E21,20161105-Sturm-MBO,unsat,0.009,20.406
mbo_E22E23,20161105-Sturm-MBO,unsat,0.018,20.437
mbo_E22E24,20161105-Sturm-MBO,unsat,0.021,20.543
mbo_E22E25,20161105-Sturm-MBO,unsat,0.017,20.539
mbo_E22E26,20161105-Sturm-MBO,unsat,0.018,20.516
mbo_E22E27,20161105-Sturm-MBO,unsat,0.014,20.492
mbo_E22E28,20161105-Sturm-MBO,unsat,0.022,20.52
mbo_E22,20161105-Sturm-MBO,unsat,0.013,20.414
mbo_E23E24,20161105-Sturm-MBO,unsat,0.017,20.527
mbo_E23E25,20161105-Sturm-MBO,unsat,0.013,20.523
mbo_E23E26,20161105-Sturm-MBO,unsat,0.013,20.41
mbo_E23E27,20161105-Sturm-MBO,unsat,0.012,20.406
mbo_E23E28,20161105-Sturm-MBO,unsat,0.009,20.41
mbo_E23,20161105-Sturm-MBO,unsat,0.013,20.406
mbo_E24E25,20161105-Sturm-MBO,unsat,0.022,20.551
mbo_E24E26,20161105-Sturm-MBO,unsat,0.015,20.531
mbo_E24E27,20161105-Sturm-MBO,unsat,0.019,20.5
mbo_E24E28,20161105-Sturm-MBO,unsat,0.019,20.527
mbo_E24,20161105-Sturm-MBO,unsat,0.017,20.449
mbo_E25E26,20161105-Sturm-MBO,unsat,0.013,20.437
mbo_E25E27,20161105-Sturm-MBO,unsat,0.011,20.496
mbo_E25E28,20161105-Sturm-MBO,unsat,0.02,20.527
mbo_E25,20161105-Sturm-MBO,unsat,0.013,20.414
mbo_E26E27,20161105-Sturm-MBO,unsat,0.009,20.406
mbo_E26E28,20161105-Sturm-MBO,unsat,0.009,20.41
mbo_E26,20161105-Sturm-MBO,unsat,0.012,20.406
mbo_E27E28,20161105-Sturm-MBO,unsat,0.017,20.41
mbo_E27,20161105-Sturm-MBO,unsat,0.001,5.855
mbo_E28,20161105-Sturm-MBO,unsat,0.017,20.406
mbo_E2E10,20161105-Sturm-MBO,memoryout,0,0
mbo_E2E11,20161105-Sturm-MBO,unsat,0.057,22.562
mbo_E2E12,20161105-Sturm-MBO,unsat,0.114,25.09
mbo_E2E13,20161105-Sturm-MBO,unsat,0.111,25.609
mbo_E2E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E2E15,20161105-Sturm-MBO,unsat,0.108,25.09
mbo_E2E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E2E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E2E18,20161105-Sturm-MBO,unsat,0.114,25.187
mbo_E2E19,20161105-Sturm-MBO,unsat,0.102,25.004
mbo_E2E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E2E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E2E22,20161105-Sturm-MBO,unsat,0.09,24.344
mbo_E2E23,20161105-Sturm-MBO,unsat,0.087,24.273
mbo_E2E24,20161105-Sturm-MBO,unsat,0.094,24.621
mbo_E2E25,20161105-Sturm-MBO,unsat,0.092,24.562
mbo_E2E26,20161105-Sturm-MBO,unsat,0.088,24.453
mbo_E2E27,20161105-Sturm-MBO,unsat,0.037,21.77
mbo_E2E28,20161105-Sturm-MBO,unsat,0.086,24.617
mbo_E2E3,20161105-Sturm-MBO,unsat,0.121,25.949
mbo_E2E4,20161105-Sturm-MBO,unsat,0.109,25.672
mbo_E2E5,20161105-Sturm-MBO,unsat,0.127,26.602
mbo_E2E6,20161105-Sturm-MBO,unsat,0.132,26.535
mbo_E2E7,20161105-Sturm-MBO,unsat,0.065,23.418
mbo_E2E8,20161105-Sturm-MBO,unsat,0.121,25.949
mbo_E2E9,20161105-Sturm-MBO,memoryout,0,0
