benchmark,family,result,time
mbo_E1E27,20161105-Sturm-MBO,unsat,1.792
mbo_E1E28,20161105-Sturm-MBO,unsat,12.787
mbo_E1E2,20161105-Sturm-MBO,unsat,17.467
mbo_E1E3,20161105-Sturm-MBO,unsat,16.968
mbo_E1E4,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.007
mbo_E1E5,20161105-Sturm-MBO,unsat,26.586
mbo_E1E6,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E1E7,20161105-Sturm-MBO,unsat,5.792
mbo_E1E8,20161105-Sturm-MBO,unsat,16.805
mbo_E1E9,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.039
mbo_E1,20161105-Sturm-MBO,unsat,0.379
mbo_E20E21,20161105-Sturm-MBO,unsat,0.044
mbo_E20E22,20161105-Sturm-MBO,unsat,0.15
mbo_E20E23,20161105-Sturm-MBO,unsat,0.129
mbo_E20E24,20161105-Sturm-MBO,unsat,0.164
mbo_E20E25,20161105-Sturm-MBO,unsat,0.161
mbo_E20E26,20161105-Sturm-MBO,unsat,0.143
mbo_E20E27,20161105-Sturm-MBO,unsat,0.061
mbo_E20E28,20161105-Sturm-MBO,unsat,0.146
mbo_E20,20161105-Sturm-MBO,unsat,0.034
mbo_E21E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.003
mbo_E21E23,20161105-Sturm-MBO,unsat,0.035
mbo_E21E24,20161105-Sturm-MBO,unsat,0.171
mbo_E21E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.011
mbo_E21E26,20161105-Sturm-MBO,unsat,0.038
mbo_E21E27,20161105-Sturm-MBO,unsat,0.032
mbo_E21E28,20161105-Sturm-MBO,unsat,0.036
mbo_E21,20161105-Sturm-MBO,unsat,0.031
mbo_E22E23,20161105-Sturm-MBO,unsat,0.049
mbo_E22E24,20161105-Sturm-MBO,unsat,0.216
mbo_E22E25,20161105-Sturm-MBO,unsat,0.175
mbo_E22E26,20161105-Sturm-MBO,unsat,0.147
mbo_E22E27,20161105-Sturm-MBO,unsat,0.068
mbo_E22E28,20161105-Sturm-MBO,unsat,0.153
mbo_E22,20161105-Sturm-MBO,unsat,0.034
mbo_E23E24,20161105-Sturm-MBO,unsat,0.191
mbo_E23E25,20161105-Sturm-MBO,unsat,0.194
mbo_E23E26,20161105-Sturm-MBO,unsat,0.039
mbo_E23E27,20161105-Sturm-MBO,unsat,0.033
mbo_E23E28,20161105-Sturm-MBO,unsat,0.036
mbo_E23,20161105-Sturm-MBO,unsat,0.034
mbo_E24E25,20161105-Sturm-MBO,unsat,0.186
mbo_E24E26,20161105-Sturm-MBO,unsat,0.173
mbo_E24E27,20161105-Sturm-MBO,unsat,0.075
mbo_E24E28,20161105-Sturm-MBO,unsat,0.174
mbo_E24,20161105-Sturm-MBO,unsat,0.048
mbo_E25E26,20161105-Sturm-MBO,unsat,0.046
mbo_E25E27,20161105-Sturm-MBO,unsat,0.074
mbo_E25E28,20161105-Sturm-MBO,unsat,0.16
mbo_E25,20161105-Sturm-MBO,unsat,0.035
mbo_E26E27,20161105-Sturm-MBO,unsat,0.033
mbo_E26E28,20161105-Sturm-MBO,unsat,0.04
mbo_E26,20161105-Sturm-MBO,unsat,0.034
mbo_E27E28,20161105-Sturm-MBO,unsat,0.033
mbo_E27,20161105-Sturm-MBO,unsat,0.029
mbo_E28,20161105-Sturm-MBO,unsat,0.031
mbo_E2E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.034
mbo_E2E11,20161105-Sturm-MBO,unsat,3.358
mbo_E2E12,20161105-Sturm-MBO,unsat,15.271
mbo_E2E13,20161105-Sturm-MBO,unsat,16.392
mbo_E2E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E2E15,20161105-Sturm-MBO,unsat,15.153
mbo_E2E16,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.004
mbo_E2E17,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.008
mbo_E2E18,20161105-Sturm-MBO,unsat,15.807
mbo_E2E19,20161105-Sturm-MBO,unsat,14.291
mbo_E2E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E2E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.004
mbo_E2E22,20161105-Sturm-MBO,unsat,12.245
mbo_E2E23,20161105-Sturm-MBO,unsat,9.728
mbo_E2E24,20161105-Sturm-MBO,unsat,11.964
mbo_E2E25,20161105-Sturm-MBO,unsat,14.34
mbo_E2E26,20161105-Sturm-MBO,unsat,12.235
mbo_E2E27,20161105-Sturm-MBO,unsat,1.811
mbo_E2E28,20161105-Sturm-MBO,unsat,12.628
mbo_E2E3,20161105-Sturm-MBO,unsat,16.776
mbo_E2E4,20161105-Sturm-MBO,unsat,15.912
mbo_E2E5,20161105-Sturm-MBO,unsat,26.403
mbo_E2E6,20161105-Sturm-MBO,unsat,20.852
mbo_E2E7,20161105-Sturm-MBO,unsat,5.816
mbo_E2E8,20161105-Sturm-MBO,unsat,16.423
